State,County,Year,Poverty_Rate,Median_Household_Income,Total_Population,Pct_Employed_Management,Pct_Employed_Service,Pct_Employed_Sales,Pct_Employed_Construction,Pct_Employed_Production,Center_Care_Medium_Price_Infant,Family_Care_Medium_Price_Infant,Family_Care_to_Center_Care_Discount%,Center_Care_Price_Quartile,Family_Care_Price_Quartile
Virginia,Arlington County,2022,6.7,137387,235845,73.3,8.8,12.2,2.5,3.3,559.34,384.54,0.3125,Q4 (High Cost),Q4 (High Cost)
Virginia,Falls Church City,2022,2.3,164536,14576,71.2,10.0,14.2,2.2,2.5,429.06,287.04,0.331,Q4 (High Cost),Q4 (High Cost)
California,San Francisco County,2022,10.5,136689,851036,62.0,13.5,16.2,2.8,5.6,606.61,395.36,0.3482,Q4 (High Cost),Q4 (High Cost)
Virginia,Loudoun County,2022,3.8,170463,420773,62.1,11.9,16.5,3.9,5.5,365.91,280.59,0.2332,Q4 (High Cost),Q4 (High Cost)
Virginia,Falls Church City,2020,2.0,146922,14309,71.2,11.6,12.7,1.9,2.5,398.33,250.0,0.3724,Q4 (High Cost),Q4 (High Cost)
District of Columbia,District of Columbia,2022,15.1,101722,670587,69.5,11.9,13.0,2.3,3.3,490.0,400.0,0.1837,Q4 (High Cost),Q4 (High Cost)
Hawaii,Kalawao County,2022,14.9,87813,50,19.4,19.4,19.4,11.1,30.6,323.08,175.38,0.4572,Q4 (High Cost),Q4 (High Cost)
Virginia,Arlington County,2020,6.4,122604,236434,70.8,9.5,13.0,3.5,3.2,513.33,348.33,0.3214,Q4 (High Cost),Q4 (High Cost)
Virginia,Alexandria City,2022,8.8,113179,157594,62.6,13.8,13.2,4.5,5.8,452.69,299.64,0.3381,Q4 (High Cost),Q4 (High Cost)
Virginia,Falls Church City,2019,3.2,127610,14128,70.0,10.6,15.8,1.6,2.0,386.67,250.0,0.3535,Q4 (High Cost),Q4 (High Cost)
Virginia,Arlington County,2019,6.8,120071,233464,70.1,9.8,12.9,4.1,3.0,491.67,336.67,0.3153,Q4 (High Cost),Q4 (High Cost)
Maryland,Howard County,2022,5.4,140971,332011,65.0,11.1,15.0,3.5,5.4,414.1,287.64,0.3054,Q4 (High Cost),Q4 (High Cost)
New York,New York County,2022,15.8,99880,1645867,63.6,13.4,16.9,1.9,4.2,300.0,250.0,0.1667,Q4 (High Cost),Q4 (High Cost)
California,Santa Clara County,2022,6.9,153792,1916831,57.8,13.6,15.3,5.6,7.7,527.14,360.87,0.3154,Q4 (High Cost),Q4 (High Cost)
Virginia,Arlington County,2018,7.2,117374,231803,69.1,9.8,13.6,4.5,3.0,470.0,325.0,0.3085,Q4 (High Cost),Q4 (High Cost)
Virginia,Falls Church City,2018,2.7,124796,14067,68.0,10.7,17.1,2.2,2.0,375.0,250.0,0.3333,Q4 (High Cost),Q4 (High Cost)
California,San Mateo County,2022,6.4,149907,754250,53.7,15.2,17.3,5.9,7.9,554.56,375.02,0.3238,Q4 (High Cost),Q4 (High Cost)
Virginia,Fairfax County,2022,6.0,145165,1145354,61.5,13.5,15.1,4.6,5.3,345.37,260.14,0.2468,Q4 (High Cost),Q4 (High Cost)
California,Marin County,2022,7.0,142019,260485,56.8,13.3,19.7,5.5,4.6,548.16,392.22,0.2845,Q4 (High Cost),Q4 (High Cost)
Virginia,Arlington County,2017,8.2,112138,229534,69.0,10.5,13.8,4.1,2.7,448.33,313.33,0.3011,Q4 (High Cost),Q4 (High Cost)
New Jersey,Somerset County,2022,5.3,131948,344978,56.8,11.1,18.4,5.2,8.5,325.54,207.04,0.364,Q4 (High Cost),Q4 (High Cost)
Hawaii,Kalawao County,2021,20.9,79583,48,25.8,32.3,16.1,3.2,22.6,312.31,168.84,0.4594,Q4 (High Cost),Q4 (High Cost)
New Jersey,Hunterdon County,2022,3.7,133534,129099,56.2,11.2,20.2,7.2,5.2,303.68,190.39,0.3731,Q4 (High Cost),Q4 (High Cost)
